1,トマト,1,1,1
2,キャベツ,1,2,1
3,レタス,1,3,1
4,白菜,1,4,1
5,玉ねぎ,1,5,1
6,長ネギ,1,6,1
7,もやし,1,7,1
8,ほうれん草,1,8,1
9,小松菜,1,9,1
10,きゅうり,1,10,1
11,なす,1,11,1
12,ピーマン,1,12,1
13,カボチャ,1,13,1
14,にんじん,1,14,1
15,大根,1,15,1
16,生姜,1,16,1
17,ニンニク,1,17,1
18,レンコン,1,18,1
19,アボカド,1,19,1
20,じゃがいも,1,20,1
21,さつまいも,1,21,1
22,椎茸,1,22,1
23,しめじ,1,23,1
24,エリンギ,1,24,1
25,えのきたけ,1,25,1
26,まいたけ,1,26,1
27,牛薄切り,2,27,50
28,牛焼肉用,2,28,50
29,牛ステーキ,2,29,50
30,牛ブロック,2,30,50
31,豚薄切り,2,31,50
32,豚焼肉用,2,32,50
33,豚生姜焼き用,2,33,50
34,豚ブロック,2,34,50
35,鶏もも,2,35,50
36,鶏むね,2,36,50
37,鶏手羽先,2,37,50
38,鶏手羽元,2,38,50
39,牛挽肉,2,39,50
40,豚挽肉,2,40,50
41,合い挽き,2,41,50
42,鮭,3,42,1
43,ぶり,3,43,1
44,さば,3,44,1
45,さんま,3,45,1
46,あじ,3,46,1
47,たい,3,47,1
48,えび,3,48,1
49,イカ,3,49,1
50,タコ,3,50,1
51,卵,4,51,1